id	user	created_at	source	in_reply_to_status_id	in_reply_to_user_id	in_reply_to_screen_name	retweet_count	text
1457478577994200000	PapayR	2021-11-07 22:42:26+00:00	Twitter for iPhone				0	RT @scharlatanja: Hausverstand wird schon auffallend häufig verwendet, um wissenschaftliche Erkenntnisse zu delegitimieren. #ImZentrum
1457478733980440000	St_DavidBowie	2021-11-07 22:43:03+00:00	TweetDeck				0	Monkey Kings and Donkey Queens https://t.co/NW27u32ZuT #MilanInter #Tatort #ajagae Cowboys #YoursOutNow Córdoba #theblock #imzentrum #MexicoGP #PGLMajor #CLUSTA Botafogo #CFMTL Hinestroza #bifob Licey Chito #SRFCOL #annewill Botafogo #scorecard #DWTSgr Checo #HiddenAssets #Iraq
1457478849730580000	noitareti32	2021-11-07 22:43:31+00:00	Twitter Web App				0	"Und die Frage aufgeworfen, ob eine friedliche Koexistenz mit den geistigen Massenvernichtungswaffen ""Konservativismus"" und ""Liberalismus"" möglich und sinnvoll ist, oder ob der Preis untragbar hoch ist. Faschismus war ja auch mal ""legitime Meinung"". Hat nicht so gut funktioniert."
1457479385787900000	KIlIeou	2021-11-07 22:45:38+00:00	Twitter for iPad				0	Wer nach #imzentrum mehr von @GernotWagner hören möchte hat morgen in Wien die Gelegenheit. Ich freue mich schon sehr.
1457479720484930000	_foo__bar	2021-11-07 22:46:58+00:00	Twitter for Android				0	RT @ORFImZentrum: 💬 „Eine klimagerechte Welt können wir nur mit einem Systemwandel erreichen.“ - Lena Schilling, Klima-Aktivistin #imzentr…
1457480034525050000	BarbaraRuhsmann	2021-11-07 22:48:13+00:00	Twitter for Android				0	RT @Sepsndepsn: Jede Person die mit Hausverstand kommt, hat keine Ahnung von der Problematik. Jedes.Thema.Immer #imzentrum
1457480409772660000	TraudePinter	2021-11-07 22:49:43+00:00	Twitter Web App				0	RT @scharlatanja: Hausverstand wird schon auffallend häufig verwendet, um wissenschaftliche Erkenntnisse zu delegitimieren. #ImZentrum
1457480490944970000	TraudePinter	2021-11-07 22:50:02+00:00	Twitter Web App				0	RT @bertieroberts54: Weizsäcker hat bei #imzentrum einen zentralen Punkt angesprochen: Die Menschen in der Ersten Welt haben Null Interesse…
1457480529083780000	TraudePinter	2021-11-07 22:50:11+00:00	Twitter Web App				0	RT @VerenaMischitz: Ich glaube, die Pandemie hat ganz gut gezeigt, dass wir mit Hausverstand überhaupt nichts lösen. #imzentrum #Klimakrise
1457480547559780000	grossschartner	2021-11-07 22:50:15+00:00	Twitter for Android				0	RT @rudifussi: Unser Stromnetz ist nicht für massiven Ausbau von PV-Anlagen geeignet. Das Geld der Energiekonzerne fließt an Shareholder un…
